data_year,state_id,state_abbr,total_population
2022,32,NC,10740252
2021,32,NC,10594388
2020,32,NC,10636092
2019,32,NC,10521969
2018,32,NC,10417547
2017,32,NC,10307682
2016,32,NC,10180571
2015,32,NC,10074032
2014,32,NC,9977797
2013,32,NC,9888625
2012,32,NC,9794736
2011,32,NC,9699207
2010,32,NC,9580821
2009,32,NC,9421855
2008,32,NC,9257073
2007,32,NC,9095201
2006,32,NC,8889498
2005,32,NC,8710624
2004,32,NC,8568209
2003,32,NC,8433301
2002,32,NC,8347250
2001,32,NC,8221148
2000,32,NC,8084417
1999,32,NC,7671532
1998,32,NC,7565697
1997,32,NC,7449904
1996,32,NC,7347575
1995,32,NC,7218489
1994,32,NC,7095681
1993,32,NC,6969481
1992,32,NC,6867397
1991,32,NC,6761034
1990,32,NC,6656486
1989,32,NC,6603111
1988,32,NC,6551413
1987,32,NC,6438075
1986,32,NC,6347911
1985,32,NC,6271897
1984,32,NC,6170971
1983,32,NC,6087858
1982,32,NC,6024181
1981,32,NC,5956122
1980,32,NC,5848092
1979,32,NC,5610154
1978,32,NC,5581116
1977,32,NC,5529116
1976,32,NC,5469000
1975,32,NC,5451000
1974,32,NC,5363000
1973,32,NC,5273000
1972,32,NC,5254971
1971,32,NC,5156978
1970,32,NC,5092905
1969,32,NC,5217063
1968,32,NC,5143384
1967,32,NC,5033679
1966,32,NC,4902756
1965,32,NC,4791348
1964,32,NC,4840183
1963,32,NC,4748593
1962,32,NC,4715715
1961,32,NC,4541781
1960,32,NC,4541781
