data_year,state_id,state_abbr,total_population
2022,33,ND,807217
2021,33,ND,803107
2020,33,ND,793573
2019,33,ND,789872
2018,33,ND,788896
2017,33,ND,781178
2016,33,ND,783900
2015,33,ND,781773
2014,33,ND,764102
2013,33,ND,747626
2012,33,ND,724363
2011,33,ND,703813
2010,33,ND,691502
2009,33,ND,664127
2008,33,ND,658883
2007,33,ND,658340
2006,33,ND,656369
2005,33,ND,657313
2004,33,ND,652988
2003,33,ND,650626
2002,33,ND,650180
2001,33,ND,649488
2000,33,ND,658473
1999,33,ND,646111
1998,33,ND,649017
1997,33,ND,652483
1996,33,ND,655543
1995,33,ND,652493
1994,33,ND,649435
1993,33,ND,646385
1992,33,ND,647842
1991,33,ND,646827
1990,33,ND,646556
1989,33,ND,667679
1988,33,ND,670762
1987,33,ND,680134
1986,33,ND,683963
1985,33,ND,690026
1984,33,ND,691036
1983,33,ND,685104
1982,33,ND,675030
1981,33,ND,662940
1980,33,ND,657335
1979,33,ND,662498
1978,33,ND,655128
1977,33,ND,656128
1976,33,ND,645850
1975,33,ND,637960
1974,33,ND,637000
1973,33,ND,640000
1972,33,ND,632000
1971,33,ND,625000
1970,33,ND,617761
1969,33,ND,615000
1968,33,ND,625000
1967,33,ND,639000
1966,33,ND,649731
1965,33,ND,641361
1964,33,ND,644990
1963,33,ND,634028
1962,33,ND,642013
1961,33,ND,632446
1960,33,ND,632446
