data_year,state_id,state_abbr,total_population
2022,31,NE,2032148
2021,31,NE,2027023
2020,31,NE,2006701
2019,31,NE,2004095
2018,31,NE,1998902
2017,31,NE,1987973
2016,31,NE,1977033
2015,31,NE,1969182
2014,31,NE,1952916
2013,31,NE,1936716
2012,31,NE,1924282
2011,31,NE,1908232
2010,31,NE,1891354
2009,31,NE,1859286
2008,31,NE,1855988
2007,31,NE,1845915
2006,31,NE,1830752
2005,31,NE,1823210
2004,31,NE,1809146
2003,31,NE,1803654
2002,31,NE,1794722
2001,31,NE,1778173
2000,31,NE,1776031
1999,31,NE,1762297
1998,31,NE,1754330
1997,31,NE,1750170
1996,31,NE,1744920
1995,31,NE,1730155
1994,31,NE,1716368
1993,31,NE,1701298
1992,31,NE,1700891
1991,31,NE,1687149
1990,31,NE,1671699
1989,31,NE,1700942
1988,31,NE,1691578
1987,31,NE,1684553
1986,31,NE,1690837
1985,31,NE,1699840
1984,31,NE,1698403
1983,31,NE,1671779
1982,31,NE,1661688
1981,31,NE,1604413
1980,31,NE,1592114
1979,31,NE,1603256
1978,31,NE,1582935
1977,31,NE,1578935
1976,31,NE,1570935
1975,31,NE,1563935
1974,31,NE,1559644
1973,31,NE,1560631
1972,31,NE,1537165
1971,31,NE,1512000
1970,31,NE,1487544
1969,31,NE,1452686
1968,31,NE,1440686
1967,31,NE,1438433
1966,31,NE,1502015
1965,31,NE,1492639
1964,31,NE,1483192
1963,31,NE,1463374
1962,31,NE,1487318
1961,31,NE,1414511
1960,31,NE,1414511
