data_year,state_id,state_abbr,total_population
2022,34,NH,1413481
2021,34,NH,1406791
2020,34,NH,1390726
2019,34,NH,1384448
2018,34,NH,1382257
2017,34,NH,1370055
2016,34,NH,1362694
2015,34,NH,1358708
2014,34,NH,1362879
2013,34,NH,1359508
2012,34,NH,1359194
2011,34,NH,1358371
2010,34,NH,1365725
2009,34,NH,1375160
2008,34,NH,1369409
2007,34,NH,1370223
2006,34,NH,1369905
2005,34,NH,1365413
2004,34,NH,1355182
2003,34,NH,1347486
2002,34,NH,1340548
2001,34,NH,1325114
2000,34,NH,1327707
1999,34,NH,1301550
1998,34,NH,1342432
1997,34,NH,1322722
1996,34,NH,1310361
1995,34,NH,1294619
1994,34,NH,1282258
1993,34,NH,1268772
1992,34,NH,1257102
1991,34,NH,1250358
1990,34,NH,1257860
1989,34,NH,1249584
1988,34,NH,1239280
1987,34,NH,1199593
1986,34,NH,1167503
1985,34,NH,1134350
1984,34,NH,1112253
1983,34,NH,1096524
1982,34,NH,1062106
1981,34,NH,1052614
1980,34,NH,1041881
1979,34,NH,1005431
1978,34,NH,995341
1977,34,NH,849000
1976,34,NH,822000
1975,34,NH,818000
1974,34,NH,808000
1973,34,NH,791000
1972,34,NH,771000
1971,34,NH,762000
1970,34,NH,737681
1969,34,NH,717000
1968,34,NH,702000
1967,34,NH,686000
1966,34,NH,681090
1965,34,NH,644015
1964,34,NH,654041
1963,34,NH,626987
1962,34,NH,632004
1961,34,NH,606921
1960,34,NH,606921
