data_year,state_id,state_abbr,total_population
2022,35,NJ,9322469
2021,35,NJ,9326233
2020,35,NJ,8941724
2019,35,NJ,8941805
2018,35,NJ,8968809
2017,35,NJ,9066144
2016,35,NJ,9005202
2015,35,NJ,9014923
2014,35,NJ,8995276
2013,35,NJ,8974455
2012,35,NJ,8925939
2011,35,NJ,8878183
2010,35,NJ,8852833
2009,35,NJ,8761163
2008,35,NJ,8726828
2007,35,NJ,8734669
2006,35,NJ,8774169
2005,35,NJ,8770503
2004,35,NJ,8750387
2003,35,NJ,8688836
2002,35,NJ,8638252
2001,35,NJ,8531789
2000,35,NJ,8461319
1999,35,NJ,8188146
1998,35,NJ,8159326
1997,35,NJ,8102463
1996,35,NJ,8037072
1995,35,NJ,7989740
1994,35,NJ,7945294
1993,35,NJ,7913727
1992,35,NJ,7823043
1991,35,NJ,7793921
1990,35,NJ,7760737
1989,35,NJ,7751018
1988,35,NJ,7734524
1987,35,NJ,7686328
1986,35,NJ,7634094
1985,35,NJ,7568785
1984,35,NJ,7518447
1983,35,NJ,7471424
1982,35,NJ,7441411
1981,35,NJ,7404654
1980,35,NJ,7343265
1979,35,NJ,7337782
1978,35,NJ,7349900
1977,35,NJ,7350430
1976,35,NJ,7351025
1975,35,NJ,7331025
1974,35,NJ,7347992
1973,35,NJ,7377289
1972,35,NJ,7402192
1971,35,NJ,7334832
1970,35,NJ,7202932
1969,35,NJ,7213978
1968,35,NJ,7132328
1967,35,NJ,7073221
1966,35,NJ,6953988
1965,35,NJ,6798848
1964,35,NJ,6739587
1963,35,NJ,6522750
1962,35,NJ,6267660
1961,35,NJ,6085359
1960,35,NJ,6049690
