data_year,state_id,state_abbr,total_population
2022,36,NM,2117703
2021,36,NM,2120439
2020,36,NM,2110918
2019,36,NM,2101456
2018,36,NM,2100071
2017,36,NM,2093574
2016,36,NM,2086535
2015,36,NM,2090676
2014,36,NM,2091198
2013,36,NM,2090974
2012,36,NM,2089244
2011,36,NM,2085969
2010,36,NM,2062883
2009,36,NM,2016615
2008,36,NM,1989674
2007,36,NM,1975264
2006,36,NM,1960013
2005,36,NM,1947879
2004,36,NM,1922397
2003,36,NM,1892610
2002,36,NM,1866916
2001,36,NM,1840977
2000,36,NM,1830812
1999,36,NM,1754684
1998,36,NM,1751920
1997,36,NM,1744476
1996,36,NM,1737481
1995,36,NM,1709085
1994,36,NM,1676440
1993,36,NM,1639020
1992,36,NM,1603208
1991,36,NM,1569748
1990,36,NM,1536357
1989,36,NM,1548271
1988,36,NM,1529411
1987,36,NM,1513969
1986,36,NM,1492636
1985,36,NM,1463117
1984,36,NM,1436880
1983,36,NM,1404645
1982,36,NM,1362303
1981,36,NM,1328937
1980,36,NM,1297693
1979,36,NM,1244079
1978,36,NM,1212856
1977,36,NM,1190856
1976,36,NM,1168856
1975,36,NM,1147856
1974,36,NM,1122858
1973,36,NM,1116246
1972,36,NM,1124058
1971,36,NM,1085624
1970,36,NM,1070960
1969,36,NM,1045436
1968,36,NM,1065278
1967,36,NM,1050847
1966,36,NM,1114546
1965,36,NM,1101542
1964,36,NM,1051606
1963,36,NM,1058707
1962,36,NM,1056682
1961,36,NM,982964
1960,36,NM,982964
