data_year,state_id,state_abbr,total_population
2022,37,NV,3184043
2021,37,NV,3150303
2020,37,NV,3144540
2019,37,NV,3086380
2018,37,NV,3040690
2017,37,NV,3004362
2016,37,NV,2946513
2015,37,NV,2897487
2014,37,NV,2845845
2013,37,NV,2796911
2012,37,NV,2765739
2011,37,NV,2730056
2010,37,NV,2707228
2009,37,NV,2649704
2008,37,NV,2606849
2007,37,NV,2571920
2006,37,NV,2502102
2005,37,NV,2421139
2004,37,NV,2341129
2003,37,NV,2247570
2002,37,NV,2180572
2001,37,NV,2112936
2000,37,NV,2003421
1999,37,NV,1814905
1998,37,NV,1753364
1997,37,NV,1683630
1996,37,NV,1609339
1995,37,NV,1534897
1994,37,NV,1462255
1993,37,NV,1394010
1992,37,NV,1332251
1991,37,NV,1289081
1990,37,NV,1206589
1989,37,NV,1116112
1988,37,NV,1065008
1987,37,NV,1011971
1986,37,NV,968281
1985,37,NV,941497
1984,37,NV,916349
1983,37,NV,896228
1982,37,NV,886170
1981,37,NV,850170
1980,37,NV,800312
1979,37,NV,702000
1978,37,NV,660000
1977,37,NV,633000
1976,37,NV,610000
1975,37,NV,592000
1974,37,NV,573000
1973,37,NV,548000
1972,37,NV,531209
1971,37,NV,510933
1970,37,NV,492914
1969,37,NV,461472
1968,37,NV,457472
1967,37,NV,448472
1966,37,NV,465070
1965,37,NV,393213
1964,37,NV,408007
1963,37,NV,368015
1962,37,NV,335008
1961,37,NV,285278
1960,37,NV,285278
