data_year,state_id,state_abbr,total_population
2022,38,NY,21653241
2021,38,NY,21763834
2020,38,NY,21264989
2019,38,NY,21379545
2018,38,NY,21485794
2017,38,NY,21791112
2016,38,NY,21702264
2015,38,NY,21755244
2014,38,NY,21699212
2013,38,NY,21600460
2012,38,NY,21525230
2011,38,NY,21413705
2010,38,NY,21307462
2009,38,NY,21490710
2008,38,NY,21383787
2007,38,NY,21141230
2006,38,NY,21155940
2005,38,NY,21085280
2004,38,NY,21053780
2003,38,NY,21018067
2002,38,NY,20955239
2001,38,NY,20795253
2000,38,NY,20769343
1999,38,NY,19992301
1998,38,NY,19964708
1997,38,NY,19730592
1996,38,NY,19786862
1995,38,NY,19720019
1994,38,NY,19755887
1993,38,NY,19791368
1992,38,NY,19710145
1991,38,NY,19643856
1990,38,NY,19570457
1989,38,NY,19493230
1988,38,NY,19440858
1987,38,NY,19376674
1986,38,NY,19023903
1985,38,NY,19028076
1984,38,NY,18951381
1983,38,NY,18873093
1982,38,NY,18864583
1981,38,NY,18809745
1980,38,NY,18694648
1979,38,NY,18896268
1978,38,NY,18961984
1977,38,NY,19121002
1976,38,NY,19252864
1975,38,NY,19287811
1974,38,NY,19226162
1973,38,NY,19373070
1972,38,NY,19440508
1971,38,NY,19427177
1970,38,NY,19199089
1969,38,NY,19304368
1968,38,NY,19064417
1967,38,NY,19261058
1966,38,NY,18865808
1965,38,NY,18661279
1964,38,NY,18788802
1963,38,NY,18527461
1962,38,NY,18184766
1961,38,NY,17517636
1960,38,NY,17501185
