data_year,state_id,state_abbr,total_population
2022,39,OH,11878678
2021,39,OH,11891997
2020,39,OH,11805196
2019,39,OH,11801080
2018,39,OH,11795652
2017,39,OH,11763545
2016,39,OH,11718158
2015,39,OH,11717241
2014,39,OH,11697114
2013,39,OH,11692534
2012,39,OH,11695268
2011,39,OH,11753515
2010,39,OH,11759004
2009,39,OH,11775714
2008,39,OH,11713451
2007,39,OH,11686891
2006,39,OH,11698918
2005,39,OH,11703070
2004,39,OH,11714712
2003,39,OH,11693154
2002,39,OH,11678044
2001,39,OH,11648402
2000,39,OH,11633043
1999,39,OH,11577790
1998,39,OH,11566081
1997,39,OH,11511017
1996,39,OH,11497672
1995,39,OH,11452778
1994,39,OH,11403775
1993,39,OH,11392583
1992,39,OH,11319668
1991,39,OH,11240577
1990,39,OH,11145651
1989,39,OH,11217687
1988,39,OH,11172374
1987,39,OH,11081160
1986,39,OH,11048280
1985,39,OH,10962448
1984,39,OH,10980343
1983,39,OH,10971041
1982,39,OH,11035040
1981,39,OH,11009899
1980,39,OH,11009711
1979,39,OH,10746923
1978,39,OH,10765260
1977,39,OH,10717260
1976,39,OH,10717772
1975,39,OH,10857704
1974,39,OH,10835151
1973,39,OH,10820724
1972,39,OH,10873446
1971,39,OH,10865398
1970,39,OH,10690511
1969,39,OH,10771527
1968,39,OH,10610770
1967,39,OH,10479140
1966,39,OH,10662192
1965,39,OH,10518496
1964,39,OH,10116533
1963,39,OH,10185940
1962,39,OH,10104365
1961,39,OH,9422531
1960,39,OH,9712882
