data_year,state_id,state_abbr,total_population
2022,40,OK,4034181
2021,40,OK,4002754
2020,40,OK,3999863
2019,40,OK,3975796
2018,40,OK,3967076
2017,40,OK,3955379
2016,40,OK,3961828
2015,40,OK,3966052
2014,40,OK,3938416
2013,40,OK,3912634
2012,40,OK,3877002
2011,40,OK,3854076
2010,40,OK,3815410
2009,40,OK,3746223
2008,40,OK,3704782
2007,40,OK,3683300
2006,40,OK,3644477
2005,40,OK,3607913
2004,40,OK,3579422
2003,40,OK,3566501
2002,40,OK,3544795
2001,40,OK,3512705
2000,40,OK,3498712
1999,40,OK,3405170
1998,40,OK,3393885
1997,40,OK,3365347
1996,40,OK,3349145
1995,40,OK,3329864
1994,40,OK,3304148
1993,40,OK,3276795
1992,40,OK,3256265
1991,40,OK,3218783
1990,40,OK,3190024
1989,40,OK,3268862
1988,40,OK,3312954
1987,40,OK,3319416
1986,40,OK,3347384
1985,40,OK,3344902
1984,40,OK,3343462
1983,40,OK,3327862
1982,40,OK,3204221
1981,40,OK,3125799
1980,40,OK,3023007
1979,40,OK,2911745
1978,40,OK,2901509
1977,40,OK,2836451
1976,40,OK,2785453
1975,40,OK,2735427
1974,40,OK,2716975
1973,40,OK,2684958
1972,40,OK,2691025
1971,40,OK,2668490
1970,40,OK,2612879
1969,40,OK,2630235
1968,40,OK,2288729
1967,40,OK,2549867
1966,40,OK,2576970
1965,40,OK,2519225
1964,40,OK,2509944
1963,40,OK,2541376
1962,40,OK,2476753
1961,40,OK,2352624
1960,40,OK,2346856
