data_year,state_id,state_abbr,total_population
2022,42,PA,13967468
2021,42,PA,13931714
2020,42,PA,13608308
2019,42,PA,13593466
2018,42,PA,13602353
2017,42,PA,13598612
2016,42,PA,13557266
2015,42,PA,13551702
2014,42,PA,13516603
2013,42,PA,13490021
2012,42,PA,13474390
2011,42,PA,13336187
2010,42,PA,13292628
2009,42,PA,13188116
2008,42,PA,12990337
2007,42,PA,12977687
2006,42,PA,13007252
2005,42,PA,12970259
2004,42,PA,12949082
2003,42,PA,12888020
2002,42,PA,12859638
2001,42,PA,12815044
2000,42,PA,12822219
1999,42,PA,12422113
1998,42,PA,12432055
1997,42,PA,12417352
1996,42,PA,12454953
1995,42,PA,12478797
1994,42,PA,12456515
1993,42,PA,12440110
1992,42,PA,12407623
1991,42,PA,12344828
1990,42,PA,12268767
1989,42,PA,12452069
1988,42,PA,12399175
1987,42,PA,12287271
1986,42,PA,12211542
1985,42,PA,12101429
1984,42,PA,12157173
1983,42,PA,12106312
1982,42,PA,12090006
1981,42,PA,12075312
1980,42,PA,12040750
1979,42,PA,11899574
1978,42,PA,11910710
1977,42,PA,11964148
1976,42,PA,11967286
1975,42,PA,11883765
1974,42,PA,11929144
1973,42,PA,12125225
1972,42,PA,12095390
1971,42,PA,12046710
1970,42,PA,11961980
1969,42,PA,11976964
1968,42,PA,11887025
1967,42,PA,11786016
1966,42,PA,11678404
1965,42,PA,11592183
1964,42,PA,11612544
1963,42,PA,11564752
1962,42,PA,11529010
1961,42,PA,11522870
1960,42,PA,11522390
