data_year,state_id,state_abbr,total_population
2022,43,PR,3221789
2021,43,PR,3263584
2020,43,PR,3159343
2019,43,PR,3193694
2018,43,PR,3195153
2017,43,PR,3337177
2016,43,PR,0
2015,43,PR,0
2014,43,PR,0
2013,43,PR,0
2012,43,PR,0
2011,43,PR,0
2010,43,PR,0
2009,43,PR,0
2008,43,PR,0
2007,43,PR,0
2006,43,PR,0
2005,43,PR,0
2004,43,PR,0
2003,43,PR,0
2002,43,PR,0
2001,43,PR,0
2000,43,PR,0
1999,43,PR,0
1998,43,PR,0
1997,43,PR,0
1996,43,PR,0
1995,43,PR,0
1994,43,PR,0
1993,43,PR,0
1992,43,PR,0
1991,43,PR,0
1990,43,PR,0
1989,43,PR,0
1988,43,PR,0
1987,43,PR,0
1986,43,PR,0
1985,43,PR,0
1984,43,PR,0
1983,43,PR,0
1982,43,PR,3045000
1981,43,PR,3045000
1980,43,PR,3045000
1979,43,PR,3045000
1978,43,PR,3045000
1977,43,PR,3045000
1976,43,PR,3045000
1975,43,PR,3045000
1974,43,PR,2689932
1973,43,PR,2689932
1972,43,PR,2689932
1971,43,PR,2689932
1970,43,PR,2689932
1969,43,PR,2712000
1968,43,PR,2697000
1967,43,PR,2697000
1966,43,PR,2657000
1965,43,PR,2631489
1964,43,PR,2577000
1963,43,PR,2529000
1961,43,PR,2353297
1960,43,PR,0
