data_year,state_id,state_abbr,total_population
2022,44,RI,1100479
2021,44,RI,1102387
2020,44,RI,1063635
2019,44,RI,1065937
2018,44,RI,1063854
2017,44,RI,1066209
2016,44,RI,1063042
2015,44,RI,1062954
2014,44,RI,1061770
2013,44,RI,1058087
2012,44,RI,1056691
2011,44,RI,1057719
2010,44,RI,1058992
2009,44,RI,1059442
2008,44,RI,1056952
2007,44,RI,1063980
2006,44,RI,1073858
2005,44,RI,1082452
2004,44,RI,1086969
2003,44,RI,1082476
2002,44,RI,1075893
2001,44,RI,1065026
2000,44,RI,1054364
1999,44,RI,997138
1998,44,RI,994135
1997,44,RI,992423
1996,44,RI,995440
1995,44,RI,995440
1994,44,RI,1002570
1993,44,RI,1005587
1992,44,RI,1010468
1991,44,RI,1009463
1990,44,RI,1008925
1989,44,RI,1002916
1988,44,RI,999739
1987,44,RI,990693
1986,44,RI,979561
1985,44,RI,972526
1984,44,RI,966452
1983,44,RI,959553
1982,44,RI,962568
1981,44,RI,956539
1980,44,RI,950345
1979,44,RI,933358
1978,44,RI,938700
1977,44,RI,941567
1976,44,RI,939208
1975,44,RI,932931
1974,44,RI,937000
1973,44,RI,973000
1972,44,RI,968000
1971,44,RI,960000
1970,44,RI,952968
1969,44,RI,934026
1968,44,RI,935799
1967,44,RI,922614
1966,44,RI,917286
1965,44,RI,938976
1964,44,RI,933089
1963,44,RI,902100
1962,44,RI,864998
1961,44,RI,859488
1960,44,RI,926143
