data_year,state_id,state_abbr,total_population
2022,45,SC,5302673
2021,45,SC,5228459
2020,45,SC,5245185
2019,45,SC,5171909
2018,45,SC,5107178
2017,45,SC,5047242
2016,45,SC,4984808
2015,45,SC,4919429
2014,45,SC,4856207
2013,45,SC,4800816
2012,45,SC,4750466
2011,45,SC,4704025
2010,45,SC,4649536
2009,45,SC,4587263
2008,45,SC,4506037
2007,45,SC,4432638
2006,45,SC,4342253
2005,45,SC,4274954
2004,45,SC,4218132
2003,45,SC,4167510
2002,45,SC,4125577
2001,45,SC,4086286
2000,45,SC,4035045
1999,45,SC,3912894
1998,45,SC,3890310
1997,45,SC,3815949
1996,45,SC,3755337
1995,45,SC,3730957
1994,45,SC,3724575
1993,45,SC,3698868
1992,45,SC,3656971
1991,45,SC,3617018
1990,45,SC,3555097
1989,45,SC,3580250
1988,45,SC,3561276
1987,45,SC,3492186
1986,45,SC,3443321
1985,45,SC,3411276
1984,45,SC,3361430
1983,45,SC,3318478
1982,45,SC,3260946
1981,45,SC,3225026
1980,45,SC,3122787
1979,45,SC,2981730
1978,45,SC,2969059
1977,45,SC,2930342
1976,45,SC,2873871
1975,45,SC,2846250
1974,45,SC,2805518
1973,45,SC,2754060
1972,45,SC,2692286
1971,45,SC,2683742
1970,45,SC,2643750
1969,45,SC,2751758
1968,45,SC,2750825
1967,45,SC,2654493
1966,45,SC,2597342
1965,45,SC,2601467
1964,45,SC,2612428
1963,45,SC,2539527
1962,45,SC,2475911
1961,45,SC,2419593
1960,45,SC,2419593
