data_year,state_id,state_abbr,total_population
2022,46,SD,951636
2021,46,SD,935809
2020,46,SD,932787
2019,46,SD,924753
2018,46,SD,921472
2017,46,SD,909430
2016,46,SD,903858
2015,46,SD,895557
2014,46,SD,889873
2013,46,SD,881153
2012,46,SD,865800
2011,46,SD,857332
2010,46,SD,844743
2009,46,SD,842057
2008,46,SD,831492
2007,46,SD,820695
2006,46,SD,803401
2005,46,SD,793779
2004,46,SD,781164
2003,46,SD,774952
2002,46,SD,772235
2001,46,SD,767707
2000,46,SD,765528
1999,46,SD,743276
1998,46,SD,751070
1997,46,SD,748154
1996,46,SD,743647
1995,46,SD,740602
1994,46,SD,730043
1993,46,SD,723969
1992,46,SD,720070
1991,46,SD,711971
1990,46,SD,704888
1989,46,SD,729630
1988,46,SD,730011
1987,46,SD,723988
1986,46,SD,720397
1985,46,SD,720413
1984,46,SD,718380
1983,46,SD,712748
1982,46,SD,703588
1981,46,SD,694028
1980,46,SD,697288
1979,46,SD,697666
1978,46,SD,698461
1977,46,SD,696672
1976,46,SD,693672
1975,46,SD,693537
1974,46,SD,692712
1973,46,SD,695748
1972,46,SD,689693
1971,46,SD,680820
1970,46,SD,674646
1969,46,SD,669190
1968,46,SD,663122
1967,46,SD,680336
1966,46,SD,716601
1965,46,SD,710935
1964,46,SD,715008
1963,46,SD,737033
1962,46,SD,721010
1961,46,SD,680514
1960,46,SD,680514
