data_year,state_id,state_abbr,total_population
2022,47,TN,7074483
2021,47,TN,6999556
2020,47,TN,6911592
2019,47,TN,6851803
2018,47,TN,6791112
2017,47,TN,6734436
2016,47,TN,6669183
2015,47,TN,6617363
2014,47,TN,6563209
2013,47,TN,6509570
2012,47,TN,6472025
2011,47,TN,6417953
2010,47,TN,6357852
2009,47,TN,6312287
2008,47,TN,6230777
2007,47,TN,6169812
2006,47,TN,6049950
2005,47,TN,5974002
2004,47,TN,5913360
2003,47,TN,5856475
2002,47,TN,5812035
2001,47,TN,5750195
2000,47,TN,5696812
1999,47,TN,5491149
1998,47,TN,5439434
1997,47,TN,5381988
1996,47,TN,5336770
1995,47,TN,5271622
1994,47,TN,5190824
1993,47,TN,5114594
1992,47,TN,5039817
1991,47,TN,4968596
1990,47,TN,4892545
1989,47,TN,4956954
1988,47,TN,4935903
1987,47,TN,4871746
1986,47,TN,4819521
1985,47,TN,4775964
1984,47,TN,4730831
1983,47,TN,4698522
1982,47,TN,4662895
1981,47,TN,4624368
1980,47,TN,4557215
1979,47,TN,4391871
1978,47,TN,4370721
1977,47,TN,4310985
1976,47,TN,4226212
1975,47,TN,4216269
1974,47,TN,4169520
1973,47,TN,4166544
1972,47,TN,4071106
1971,47,TN,4029618
1970,47,TN,3963116
1969,47,TN,4011724
1968,47,TN,4022984
1967,47,TN,3938713
1966,47,TN,3931929
1965,47,TN,3895315
1964,47,TN,3847483
1963,47,TN,3742236
1962,47,TN,3509372
1961,47,TN,3438446
1960,47,TN,3474686
