data_year,state_id,state_abbr,total_population
2022,48,TX,30095062
2021,48,TX,29597833
2020,48,TX,29436098
2019,48,TX,29074671
2018,48,TX,28782809
2017,48,TX,28390038
2016,48,TX,27948471
2015,48,TX,27555914
2014,48,TX,27043226
2013,48,TX,26533703
2012,48,TX,26143479
2011,48,TX,25756300
2010,48,TX,25218692
2009,48,TX,24855177
2008,48,TX,24401987
2007,48,TX,23977218
2006,48,TX,23579632
2005,48,TX,22931222
2004,48,TX,22560566
2003,48,TX,22191199
2002,48,TX,21857459
2001,48,TX,21416331
2000,48,TX,20934833
1999,48,TX,20134706
1998,48,TX,19849163
1997,48,TX,19533128
1996,48,TX,19220640
1995,48,TX,18817790
1994,48,TX,18487463
1993,48,TX,18146658
1992,48,TX,17769008
1991,48,TX,17460071
1990,48,TX,17094108
1989,48,TX,17103967
1988,48,TX,16890568
1987,48,TX,16897175
1986,48,TX,16793731
1985,48,TX,16495601
1984,48,TX,16115527
1983,48,TX,15917022
1982,48,TX,15451085
1981,48,TX,14893468
1980,48,TX,14302893
1979,48,TX,13473007
1978,48,TX,13100722
1977,48,TX,12950922
1976,48,TX,12596066
1975,48,TX,12513522
1974,48,TX,12326802
1973,48,TX,12060860
1972,48,TX,11905714
1971,48,TX,11726323
1970,48,TX,11455027
1969,48,TX,11482669
1968,48,TX,11247773
1967,48,TX,11132175
1966,48,TX,11014878
1965,48,TX,10806282
1964,48,TX,10632278
1963,48,TX,10589201
1962,48,TX,9336493
1961,48,TX,9760209
1960,48,TX,9780327
