data_year,state_id,state_abbr,total_population
2022,49,UT,3505065
2021,49,UT,3458604
2020,49,UT,3428658
2019,49,UT,3382184
2018,49,UT,3378732
2017,49,UT,3317709
2016,49,UT,3260682
2015,49,UT,3203198
2014,49,UT,3147155
2013,49,UT,3102834
2012,49,UT,3054116
2011,49,UT,2947790
2010,49,UT,2864017
2009,49,UT,2893460
2008,49,UT,2842728
2007,49,UT,2751296
2006,49,UT,2652169
2005,49,UT,2579994
2004,49,UT,2494676
2003,49,UT,2457770
2002,49,UT,2444864
2001,49,UT,2387140
2000,49,UT,2355886
1999,49,UT,2242312
1998,49,UT,2199005
1997,49,UT,2134535
1996,49,UT,2073379
1995,49,UT,2022592
1994,49,UT,1974311
1993,49,UT,1927489
1992,49,UT,1878704
1991,49,UT,1834157
1990,49,UT,1782310
1989,49,UT,1768099
1988,49,UT,1750459
1987,49,UT,1733174
1986,49,UT,1716434
1985,49,UT,1690917
1984,49,UT,1683740
1983,49,UT,1648138
1982,49,UT,1581972
1981,49,UT,1539164
1980,49,UT,1486332
1979,49,UT,1378312
1978,49,UT,1320295
1977,49,UT,1323309
1976,49,UT,1280159
1975,49,UT,1258159
1974,49,UT,1222877
1973,49,UT,1206673
1972,49,UT,1183443
1971,49,UT,1155162
1970,49,UT,1105965
1969,49,UT,1086946
1968,49,UT,1073827
1967,49,UT,1053866
1966,49,UT,1032860
1965,49,UT,1046845
1964,49,UT,1022241
1963,49,UT,1012147
1961,49,UT,918426
1960,49,UT,918426
