data_year,state_id,state_abbr,total_population
2022,51,VA,8696967
2021,51,VA,8655456
2020,51,VA,8600924
2019,51,VA,8544468
2018,51,VA,8526290
2017,51,VA,8478323
2016,51,VA,8420092
2015,51,VA,8390177
2014,51,VA,8333504
2013,51,VA,8267614
2012,51,VA,8193139
2011,51,VA,8103947
2010,51,VA,8007795
2009,51,VA,7889510
2008,51,VA,7775680
2007,51,VA,7716894
2006,51,VA,7647723
2005,51,VA,7572336
2004,51,VA,7466783
2003,51,VA,7393288
2002,51,VA,7300583
2001,51,VA,7194672
2000,51,VA,7085348
1999,51,VA,6881126
1998,51,VA,6802485
1997,51,VA,6745490
1996,51,VA,6686395
1995,51,VA,6625915
1994,51,VA,6559364
1993,51,VA,6498299
1992,51,VA,6383048
1991,51,VA,6291964
1990,51,VA,6193231
1989,51,VA,6105035
1988,51,VA,6001507
1987,51,VA,5909479
1986,51,VA,5792479
1985,51,VA,5711438
1984,51,VA,5639141
1983,51,VA,5552833
1982,51,VA,5493803
1981,51,VA,5428769
1980,51,VA,5336555
1979,51,VA,5211399
1978,51,VA,5166623
1977,51,VA,5150259
1976,51,VA,5048074
1975,51,VA,4971753
1974,51,VA,4941832
1973,51,VA,4840519
1972,51,VA,4788230
1971,51,VA,4738076
1970,51,VA,4671472
1969,51,VA,4717182
1968,51,VA,4642398
1967,51,VA,4581734
1966,51,VA,4567545
1965,51,VA,4442398
1964,51,VA,4432857
1963,51,VA,4384123
1961,51,VA,3851731
1960,51,VA,3851616
