data_year,state_id,state_abbr,total_population
2022,52,VT,672094
2021,52,VT,667932
2020,52,VT,645759
2019,52,VT,646608
2018,52,VT,648985
2017,52,VT,636517
2016,52,VT,637427
2015,52,VT,637832
2014,52,VT,635974
2013,52,VT,636093
2012,52,VT,635566
2011,52,VT,636012
2010,52,VT,635311
2009,52,VT,631334
2008,52,VT,630943
2007,52,VT,631049
2006,52,VT,633732
2005,52,VT,632830
2004,52,VT,632382
2003,52,VT,629073
2002,52,VT,625369
2001,52,VT,621815
2000,52,VT,617492
1999,52,VT,602272
1998,52,VT,591860
1997,52,VT,597791
1996,52,VT,597791
1995,52,VT,593734
1994,52,VT,588703
1993,52,VT,584646
1992,52,VT,578599
1991,52,VT,575557
1990,52,VT,571253
1989,52,VT,575708
1988,52,VT,564545
1987,52,VT,561378
1986,52,VT,554275
1985,52,VT,546603
1984,52,VT,544102
1983,52,VT,528856
1982,52,VT,519791
1981,52,VT,518784
1980,52,VT,515056
1979,52,VT,495909
1978,52,VT,490020
1977,52,VT,483000
1976,52,VT,476000
1975,52,VT,471000
1974,52,VT,470000
1973,52,VT,464000
1972,52,VT,462000
1971,52,VT,458000
1970,52,VT,446827
1969,52,VT,439000
1968,52,VT,422000
1967,52,VT,417000
1966,52,VT,404543
1965,52,VT,397263
1964,52,VT,409006
1963,52,VT,389992
1961,52,VT,389881
1960,52,VT,389881
