data_year,state_id,state_abbr,total_population
2022,53,WA,7834083
2021,53,WA,7786968
2020,53,WA,7740975
2019,53,WA,7660883
2018,53,WA,7579673
2017,53,WA,7451235
2016,53,WA,7331183
2015,53,WA,7213197
2014,53,WA,7106083
2013,53,WA,7011381
2012,53,WA,6937277
2011,53,WA,6868877
2010,53,WA,6762781
2009,53,WA,6696694
2008,53,WA,6581318
2007,53,WA,6500793
2006,53,WA,6428613
2005,53,WA,6317852
2004,53,WA,6235902
2003,53,WA,6155586
2002,53,WA,6093559
2001,53,WA,6004842
2000,53,WA,5910726
1999,53,WA,5772925
1998,53,WA,5699159
1997,53,WA,5620355
1996,53,WA,5543217
1995,53,WA,5441876
1994,53,WA,5353950
1993,53,WA,5265773
1992,53,WA,5146257
1991,53,WA,5028026
1990,53,WA,4877382
1989,53,WA,4768628
1988,53,WA,4627950
1987,53,WA,4542029
1986,53,WA,4466923
1985,53,WA,4412910
1984,53,WA,4353466
1983,53,WA,4308192
1982,53,WA,4258819
1981,53,WA,4225712
1980,53,WA,4126721
1979,53,WA,3944213
1978,53,WA,3791713
1977,53,WA,3675686
1976,53,WA,3629686
1975,53,WA,3561686
1974,53,WA,3494385
1973,53,WA,3447438
1972,53,WA,3467832
1971,53,WA,3470293
1970,53,WA,3429542
1969,53,WA,3425507
1968,53,WA,3298781
1967,53,WA,3108913
1966,53,WA,3133723
1965,53,WA,3111906
1964,53,WA,2997339
1963,53,WA,3063991
1961,53,WA,2864810
1960,53,WA,2864810
