data_year,state_id,state_abbr,total_population
2022,54,WI,6003952
2021,54,WI,6005453
2020,54,WI,5943228
2019,54,WI,5933340
2018,54,WI,5923923
2017,54,WI,5904455
2016,54,WI,5888427
2015,54,WI,5876441
2014,54,WI,5859379
2013,54,WI,5844023
2012,54,WI,5824355
2011,54,WI,5802912
2010,54,WI,5774410
2009,54,WI,5726929
2008,54,WI,5714275
2007,54,WI,5686904
2006,54,WI,5641804
2005,54,WI,5621216
2004,54,WI,5593370
2003,54,WI,5556161
2002,54,WI,5518622
2001,54,WI,5472216
2000,54,WI,5433493
1999,54,WI,5314509
1998,54,WI,5301409
1997,54,WI,5239946
1996,54,WI,5232527
1995,54,WI,5189655
1994,54,WI,5119155
1993,54,WI,5074837
1992,54,WI,5029240
1991,54,WI,4979753
1990,54,WI,4916209
1989,54,WI,4895544
1988,54,WI,4891622
1987,54,WI,4840238
1986,54,WI,4817106
1985,54,WI,4806893
1984,54,WI,4797837
1983,54,WI,4782685
1982,54,WI,4799408
1981,54,WI,4769913
1980,54,WI,4707957
1979,54,WI,4744155
1978,54,WI,4703707
1977,54,WI,4675707
1976,54,WI,4631355
1975,54,WI,4629355
1974,54,WI,4586633
1973,54,WI,4589692
1972,54,WI,4525092
1971,54,WI,4480975
1970,54,WI,4436620
1969,54,WI,4254501
1968,54,WI,4234273
1967,54,WI,4212202
1966,54,WI,4190179
1965,54,WI,4288550
1964,54,WI,4156728
1963,54,WI,4129658
1961,54,WI,4028618
1960,54,WI,4028618
