data_year,state_id,state_abbr,total_population
2022,55,WV,1786878
2021,55,WV,1795766
2020,55,WV,1797688
2019,55,WV,1804075
2018,55,WV,1817569
2017,55,WV,1828664
2016,55,WV,1844195
2015,55,WV,1857282
2014,55,WV,1863569
2013,55,WV,1867615
2012,55,WV,1868841
2011,55,WV,1868831
2010,55,WV,1866447
2009,55,WV,1832215
2008,55,WV,1826800
2007,55,WV,1824749
2006,55,WV,1831328
2005,55,WV,1829736
2004,55,WV,1828129
2003,55,WV,1822836
2002,55,WV,1813445
2001,55,WV,1813493
2000,55,WV,1819964
1999,55,WV,1826649
1998,55,WV,1848996
1997,55,WV,1855705
1996,55,WV,1865962
1995,55,WV,1868043
1994,55,WV,1862590
1993,55,WV,1860580
1992,55,WV,1852949
1991,55,WV,1841734
1990,55,WV,1834076
1989,55,WV,1905559
1988,55,WV,1931914
1987,55,WV,1945724
1986,55,WV,1920946
1985,55,WV,1938052
1984,55,WV,1954068
1983,55,WV,1968542
1982,55,WV,1951516
1981,55,WV,1954521
1980,55,WV,1931353
1979,55,WV,1878427
1978,55,WV,1860000
1977,55,WV,1859450
1976,55,WV,1821000
1975,55,WV,1803000
1974,55,WV,1791000
1973,55,WV,1794000
1972,55,WV,1781000
1971,55,WV,1758559
1970,55,WV,1725708
1969,55,WV,1827916
1968,55,WV,1814342
1967,55,WV,1802434
1966,55,WV,1798200
1965,55,WV,1792317
1964,55,WV,1799205
1963,55,WV,1780077
1961,55,WV,1860421
1960,55,WV,1860421
