data_year,state_id,state_abbr,total_population
2022,56,WY,593436
2021,56,WY,591049
2020,56,WY,593429
2019,56,WY,589800
2018,56,WY,588786
2017,56,WY,588905
2016,56,WY,595148
2015,56,WY,595889
2014,56,WY,591789
2013,56,WY,590427
2012,56,WY,584176
2011,56,WY,575060
2010,56,WY,570473
2009,56,WY,551287
2008,56,WY,539308
2007,56,WY,529131
2006,56,WY,521073
2005,56,WY,515094
2004,56,WY,512254
2003,56,WY,506879
2002,56,WY,504213
2001,56,WY,499886
2000,56,WY,499238
1999,56,WY,484327
1998,56,WY,485341
1997,56,WY,484446
1996,56,WY,485459
1995,56,WY,484452
1994,56,WY,480120
1993,56,WY,474079
1992,56,WY,470028
1991,56,WY,463980
1990,56,WY,457141
1989,56,WY,478726
1988,56,WY,474665
1987,56,WY,492578
1986,56,WY,509376
1985,56,WY,510203
1984,56,WY,511000
1983,56,WY,514000
1982,56,WY,502000
1981,56,WY,492000
1980,56,WY,468954
1979,56,WY,450000
1978,56,WY,427724
1977,56,WY,410986
1976,56,WY,401074
1975,56,WY,388391
1974,56,WY,372219
1973,56,WY,362245
1972,56,WY,354027
1971,56,WY,348812
1970,56,WY,341074
1969,56,WY,330071
1968,56,WY,324719
1967,56,WY,315000
1966,56,WY,338510
1965,56,WY,347382
1964,56,WY,342992
1963,56,WY,336986
1961,56,WY,330066
1960,56,WY,330066
