data_year,population,total_population
1960,179205471,181695333
1961,181126757,183641941
1962,168906822,171486659
1963,190993704,194316659
1964,193654499,197255849
1965,196085269,199802165
1966,199051111,202906302
1967,200397297,204293692
1968,201938623,206320810
1969,204510056,208998799
1970,205689188,209964916
1971,208702631,212247089
1972,210709677,214490251
1973,212365624,216048160
1974,213828375,217434126
1975,216067925,219365362
1976,217622544,220406042
1977,219353624,222099757
1978,221081231,223902022
1979,223093000,225960164
1980,228335365,231563235
1981,232330068,235449753
1982,234719221,238238554
1983,233984801,237625526
1984,236166448,239750938
1985,238744457,242487508
1986,241083074,244909160
1987,243406923,247674898
1988,245812846,250263626
1989,248248537,252766828
1990,248709873,253286315
1991,252181000,256655913
1992,255081000,259603780
1993,257904000,262453212
1994,260341000,264964630
1995,262754000,267428288
1996,265284000,270350716
1997,267637000,272548861
1998,270296000,275190443
1999,272691000,277475255
2000,281421906,286335900
2001,284796887,289627938
2002,288368698,293182392
2003,290809777,295709600
2004,293655404,298656157
2005,296410404,301499406
2006,299398484,304523081
2007,301621157,306755209
2008,304059724,309324491
2009,307006550,312363383
2010,308745538,314164230
2011,311591917,317176318
2012,313914040,319689868
2013,316128839,321952676
2014,318857056,324735099
2015,321418820,327511036
2016,323127513,329249183
2017,329056355,335240234
2018,330362587,336537547
2019,331433049,337557044
2020,332644200,338691143
2021,335315482,341460745
2022,336509346,342708067
